X,Y,OBJECTID,Injury,Fatality,Year,Weather,Light,RoadSurface,TrafficControl,City,CrashSeverity
-88.212825770101716,40.116498245948883,117,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.203605751010187,40.118907513705949,118,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.281326668498039,40.109267520054722,119,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.244593523699052,40.098101706775914,120,1,0,2012,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,B-Injury
-88.282834927652999,40.112823499171547,121,0,1,2012,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,Fatal
-88.243565764258861,40.127207514164994,122,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.233576146522921,40.110287605129358,123,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.230295757509793,40.104177510074322,124,1,0,2012,Rain,Daylight,Wet,Traffic Signal,Champaign,B-Injury
-88.407833506319008,40.188017186527773,125,0,0,2012,Clear,Daylight,Dry,No Controls,Mahomet,Property Damage
-88.238945797217667,40.138019415051183,126,1,0,2012,Clear,Darkness,Dry,No Controls,Champaign,B-Injury
-88.206675018008312,40.112480981988433,127,1,0,2012,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.232096988165509,40.114437563711924,128,1,0,2012,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.169148979417557,40.142127639903883,129,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,A-Injury
-88.212825770101716,40.116498245948883,130,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.217635854802822,40.104667737314863,131,1,0,2012,Clear,Darkness,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.25585381131836,40.098133314898206,132,1,0,2012,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.219305778697574,40.109099234896831,133,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Urbana,C-Injury
-88.243565930153949,40.127210531436347,134,1,0,2012,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,B-Injury
-88.201935750983893,40.122027515063699,135,1,0,2012,Rain,"Darkness, lighted road",Wet,Traffic Signal,Urbana,B-Injury
-88.237534382775877,40.101482597937661,136,1,0,2012,Rain,Daylight,Wet,No Controls,Champaign,C-Injury
-88.242028876743305,40.117917476170462,137,1,0,2011,Clear,"Darkness, lighted road",Wet,No Controls,Champaign,C-Injury
-88.219486722579745,40.120076919411879,138,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.219245268679316,40.1059863118804,139,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.369844936987363,40.147772006143285,140,1,1,2011,Clear,Daylight,Dry,No Controls,Unincorporated,Fatal
-88.257579199115128,40.109038514308828,141,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.227127890224054,40.112755912965568,142,1,0,2011,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.28131482721831,40.108436858899871,143,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.248507706604713,40.122156627917846,144,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.294493518363623,40.054843575022673,145,1,0,2011,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.223718436527335,40.109086515381797,146,1,0,2011,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.23333508206531,40.098097344008444,147,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.240294525290494,40.110208844331218,148,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.276357316328983,40.083706979134341,149,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.276943320390998,40.122258671867847,150,1,0,2011,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,B-Injury
-88.21936654321604,40.114516854663087,151,1,0,2011,Clear,Dusk,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.270462431750843,40.141590588824194,152,1,0,2011,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.276847271955575,40.118436656177252,153,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.245185111358609,40.094487440955284,154,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.243475122522568,40.112588519979788,155,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.20497444619501,40.116327098653663,156,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.272490935457029,40.120178833710895,157,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.238637922507635,40.10270675794736,158,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.233335083385825,40.098097418676744,159,1,0,2011,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,C-Injury
-88.232265809497775,40.127307579302425,160,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.212825760222685,40.116497765819268,161,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.285471602975505,40.069296992226874,162,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.250495365083324,40.102322314309539,163,1,0,2011,Clear,Dawn,Wet,Stop Sign/Flasher,Champaign,B-Injury
-88.276692280849105,40.098275870939304,164,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.233554962496143,40.11267671079441,165,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.232084638369969,40.11268784738435,166,0,0,2011,Clear,Daylight,Dry,No Controls,Champaign,Property Damage
-88.238194904029555,40.087256327336171,167,1,0,2011,NA,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.285916399026007,40.102406568373716,168,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.238926505942501,40.135266049345205,169,0,1,2011,Clear,Darkness,Dry,Stop Sign/Flasher,Champaign,Fatal
-88.250493031420447,40.102316162210506,170,0,0,2011,Clear,Dawn,Wet,Stop Sign/Flasher,Champaign,Property Damage
-88.223835829072058,40.104209587310152,171,1,0,2011,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.232115245628833,40.123109334171637,172,1,0,2011,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.255815096820129,40.109049669350014,173,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.25763531055226,40.098157491136348,174,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.257980512388855,40.127177386226556,175,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.222396421410579,40.112861170406603,176,1,0,2011,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.277236539327035,40.139238675169018,177,1,0,2011,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.258343450960325,40.127181834984064,178,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.154107272545588,40.303686365876246,179,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Rantoul,C-Injury
-88.235545872219618,40.127277260520088,180,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.276817218130589,40.117456221053729,181,0,0,2011,Clear,Daylight,Dry,No Controls,Champaign,Property Damage
-88.233480398110444,40.10349198688283,182,1,0,2011,Rain,Daylight,Wet,Other Regualtory Sig,Champaign,B-Injury
-88.277534570442512,40.127427514031439,183,1,0,2011,Rain,Daylight,Wet,No Controls,Champaign,B-Injury
-88.235397043983298,40.112658034290497,184,1,0,2011,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.245135625627952,40.108477507802455,185,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.227443044214496,40.104207250004507,186,1,0,2011,Clear,"Darkness, lighted road",Dry,Lane Use Marking,Urbana,B-Injury
-88.282835206729317,40.112898158331255,187,1,0,2011,Rain,Darkness,Wet,Traffic Signal,Champaign,A-Injury
-88.407775936562814,40.19230643240504,188,0,0,2011,Clear,Daylight,Dry,No Controls,Mahomet,Property Damage
-88.276603310245321,40.112855801135261,189,1,0,2011,Snow,Daylight,Wet,No Controls,Champaign,B-Injury
-88.242138229327182,40.121106731181989,190,1,0,2011,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.13652755562488,40.312126857313771,191,1,0,2011,Rain,"Darkness, lighted road",Wet,Traffic Signal,Rantoul,B-Injury
-88.223877409524547,40.107016622436845,192,1,0,2010,Fog/Smoke/Haze,Darkness,Wet,No Controls,Urbana,B-Injury
-88.246886597783146,40.121187791295931,193,1,0,2010,Rain,"Darkness, lighted road",Wet,Stop Sign/Flasher,Champaign,C-Injury
-88.245226305900687,40.120219124661553,194,1,0,2010,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.244306820047541,40.099927061137087,195,1,0,2010,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.307096483840354,40.084068206652077,196,0,0,2010,Clear,Dawn,Dry,Stop Sign/Flasher,Champaign,Property Damage
-88.223938096360044,40.111136967312653,197,1,0,2010,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.233557237697937,40.106898663565381,198,1,0,2010,NA,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.251744252439735,40.118276728365643,199,1,0,2010,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,B-Injury
-88.224168568320195,40.107015244381941,200,0,0,2010,Clear,Daylight,Dry,No Controls,Urbana,Property Damage
-88.233335083385825,40.098097418676744,201,1,0,2010,Snow,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.225584198490139,40.110567025270456,202,1,0,2010,Clear,Daylight,Dry,Lane Use Marking,Urbana,C-Injury
-88.229939548574109,40.125162063830537,203,1,0,2010,Clear,Dusk,Dry,No Controls,Champaign,A-Injury
-88.220654728767144,40.11284763681072,204,1,0,2010,Clear,Darkness,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.248865248671038,40.098109005619115,205,1,0,2010,Clear,Darkness,Dry,No Controls,Champaign,B-Injury
-88.233554962496143,40.11267671079441,206,1,0,2010,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.423591235407812,40.040204470615514,207,2,0,2010,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.27504269028131,40.135423070526777,208,1,0,2010,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.19575512821821,40.110957656721141,209,1,0,2010,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.240295818109871,40.110208822859782,210,1,0,2010,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.257495170616124,40.083606941952382,211,1,0,2010,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.240295744104927,40.110208821702301,212,1,0,2010,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.281704014094373,40.118800801748087,213,1,0,2010,Clear,Daylight,Dry,Other,Champaign,B-Injury
-88.257985600023403,40.127176791653156,214,1,0,2010,Clear,Dusk,Dry,Traffic Signal,Champaign,C-Injury
-88.223919054678362,40.110577340702278,215,1,0,2010,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.228936910975193,40.11640877940836,216,1,0,2010,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,B-Injury
-88.245235297362726,40.118317134546658,217,1,0,2010,Clear,"Darkness, lighted road",Dry,NA,Champaign,B-Injury
-88.287718699955505,40.083848724521999,218,1,0,2010,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.253116593643611,40.122158784122561,219,1,0,2010,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.257895216742128,40.140757735653274,220,1,0,2010,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.190676058986597,40.094980423429313,221,1,0,2010,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.245173030183707,40.11443741311291,222,1,0,2010,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.219136349415933,40.100656560987829,223,1,0,2010,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.219325219600421,40.11057718360577,224,1,0,2010,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
